Name,Category,MatchField,Pattern,MatchType,RiskLevel,DefaultAction,Reason,SourceURL,Vendor,From,TelemetrySource,Sanctioned
Dynamic Threat Detection Agent,Microsoft Security Copilot agent,AgentName,Dynamic Threat Detection Agent,Exact,High,Review,Always-on backend agent that correlates signals across Defender and Sentinel.,https://learn.microsoft.com/en-us/defender-xdr/dynamic-threat-detection-agent,Microsoft,Cloud,Security Copilot / Defender audit,false
Copilot Studio agents,Microsoft enterprise cloud agent,AgentId,CopilotStudio.,Prefix,High,Review,Detects Copilot Studio agent identities and activity through cloud audit and Entra telemetry.,https://learn.microsoft.com/en-us/microsoft-copilot-studio/admin-logging-copilot-studio,Microsoft,Cloud,Purview audit / Entra Agent ID / Agent 365,false
Agents API managed cloud agents,Cloud agent platform,Service/API,Agents API,Exact,High,Review,OpenAI-managed orchestration and sandbox service for cloud agents.,https://developers.openai.com/api/docs/guides/agents-api/overview,OpenAI,Cloud,OpenAI API / compliance logs,false
Claude Managed Agents,Cloud agent platform,Service/API,Managed Agents,Contains,High,Review,"Anthropic-managed sessions, harnesses, sandboxes, and tool execution for cloud agents.",https://www.anthropic.com/engineering/managed-agents,Anthropic,Cloud,Anthropic platform audit/API,false
Gemini Enterprise agents,Enterprise cloud agent platform,AgentRegistry,Gemini Enterprise,Contains,High,Review,"Google platform for building, deploying, governing, and managing enterprise agents.",https://cloud.google.com/gemini-enterprise/agents,Google,Cloud,Google Cloud audit / Gemini Enterprise registry,false
Amazon Bedrock AgentCore,Cloud agent platform,Service/API,AgentCore,Contains,High,Review,AWS managed platform for deploying and operating AI agents.,https://aws.amazon.com/bedrock/agents/,Amazon Web Services,Cloud,AWS CloudTrail / Bedrock logs,false
Agentforce,Enterprise cloud agent platform,AgentName,Agentforce,Contains,High,Review,"Salesforce platform for configurable agents, subagents, actions, and workflows.",https://www.salesforce.com/uk/agentforce/,Salesforce,Cloud,Salesforce audit / Agentforce activity,false
ServiceNow AI Agents / Otto,Enterprise workflow agent,AgentName,ServiceNow AI Agent,Contains,High,Review,"Cloud workflow agents that can make decisions, use tools, and complete work across enterprise systems.",https://www.servicenow.com/products/ai-agents.html,ServiceNow,Cloud,ServiceNow audit / AI Control Tower,false
watsonx Orchestrate agents,Enterprise workflow agent,AgentName,watsonx Orchestrate,Contains,High,Review,"IBM platform for building, orchestrating, governing, and observing enterprise agents.",https://www.ibm.com/products/watsonx-orchestrate/ai-agents,IBM,Cloud,IBM watsonx audit / API,false
Muse,Personal cloud agent,AgentName,Muse,Exact,High,Review,Meta personal AI agent running in a secure hosted environment.,https://about.fb.com/news/2026/09/introducing-muse-personal-ai-agent/,Meta,Cloud,Meta service telemetry / API,false
Meta Business Agent,Business cloud agent,AgentName,Meta Business Agent,Exact,High,Review,Meta-hosted business customer-service agent.,https://about.fb.com/news/2026/06/meta-business-agent/,Meta,Cloud,Meta business activity logs,false
Adobe Experience Platform Agents,Enterprise workflow agent,AgentName,AEP Agent,Contains,High,Review,Adobe agents coordinated through Experience Platform Agent Orchestrator.,https://business.adobe.com/products/experience-platform/agent-orchestrator.html,Adobe,Cloud,Adobe Experience Cloud audit / API,false
